incident_characteristics,incident_id,date,state,city_or_county,address,n_killed,n_injured,latitude,location_description,longitude,n_guns_involved
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",168558,2014-08-03,California,Oakland,55th and Fairfax avenues in East Oakland,1,0,37.7691,,-122.201,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Gang involvement",176281,2014-08-03,California,Sunnyvale,400 block of Macara Avenue,1,1,37.3932,,-122.042,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",181966,2014-08-06,California,Bakersfield,2140 E. Brundage Lane,1,0,35.3541,,-118.969,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Brandishing/flourishing/open carry/lost/found",170672,2014-08-06,California,San Diego,2800 block of North Mission Bay Drive ,0,1,32.7987,,-117.213,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",170704,2014-08-06,California,Bakersfield,1700 block of Quincy Street ,3,1,35.3815,,-118.974,
"Shot - Dead (murder, accidental, suicide)",171013,2014-08-07,California,Hemet,5000 block of West Florida Avenue,2,0,33.7439,,-117.029,
"Shot - Dead (murder, accidental, suicide)",199160,2014-08-07,California,Los Angeles,500 block of West 74th Street,1,1,33.9727,,-118.283,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Defensive Use",171842,2014-08-07,California,Folsom,Montrose Drive ,1,0,38.6763,,-121.154,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Home Invasion||Home Invasion - No death or injury||Officer Involved Incident||Officer Involved Incident - Weapon involved but no shots fired||Shootout (where VENN diagram of shooters and victims overlap)||Drug involvement||Armed robbery with injury/death and/or evidence of DGU found||Kidnapping/abductions/hostage",170685,2014-08-07,California,Fresno,5100 block of Orange Ave,1,0,36.6634,,-119.764,1.0
"Shot - Dead (murder, accidental, suicide)",171875,2014-08-07,California,San Francisco,Connecticut Street at Wisconsin Street,1,0,37.7537,,-122.399,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",199089,2014-08-07,California,Lodi,East Kettleman Lane,1,1,38.1168,,-121.161,
"Shot - Dead (murder, accidental, suicide)",171829,2014-08-08,California,Porterville,1700 block of East Springfield Avenue ,1,0,36.0652,,-119.017,
"Shot - Dead (murder, accidental, suicide)||Gang involvement",171872,2014-08-08,California,Pittsburg (Bay Point),2200 block of Placer Drive,1,0,,,,1.0
"Shot - Dead (murder, accidental, suicide)",199151,2014-08-09,California,Los Angeles,9000 South Avalon Boulevard,0,0,33.9545,,-118.265,
"Shot - Dead (murder, accidental, suicide)",173150,2014-08-09,California,Salinas,Fairview and Sharon ,2,0,36.6663,,-121.625,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - Officer shot||Officer Involved Shooting - subject/suspect/perpetrator killed||Defensive Use",171834,2014-08-09,California,Walnut Park,2700 block of Grand Avenue,1,1,33.9689,,-118.222,
"Shot - Dead (murder, accidental, suicide)",172493,2014-08-09,California,Delano,1225 Airport Drive,1,0,35.7449,,-119.239,
"Shot - Dead (murder, accidental, suicide)",172484,2014-08-10,California,Bakersfield,Silver Dollar Way ,1,0,35.2836,,-119.029,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",172500,2014-08-10,California,Fresno,2300 block of South Weller Avenue ,1,1,36.7178,,-119.799,
"Shot - Dead (murder, accidental, suicide)||Suicide^||Murder/Suicide",172496,2014-08-10,California,Dairyville,Electric Avenue ,2,0,40.1455,,-122.135,
"Shot - Dead (murder, accidental, suicide)",174052,2014-08-10,California,Los Angeles,2200 block of Thomas Street,1,0,34.0705,,-118.205,
"Shot - Dead (murder, accidental, suicide)",199149,2014-08-10,California,Los Angeles,47002 30th Street,1,0,33.9799,,-118.466,
"Shot - Dead (murder, accidental, suicide)||Armed robbery with injury/death and/or evidence of DGU found",173674,2014-08-10,California,Tracy,1900 block of Notre Dame Ct ,1,0,37.7027,,-121.451,
"Shot - Dead (murder, accidental, suicide)",172515,2014-08-10,California,San Francisco,,1,0,37.7807,,-122.417,
"Shot - Dead (murder, accidental, suicide)||Home Invasion||Home Invasion - subject/suspect/perpetrator killed||Defensive Use",173069,2014-08-10,California,Long Beach,2800 block of 3rd Steet,1,0,33.7681,,-118.159,
"Shot - Dead (murder, accidental, suicide)",172309,2014-08-10,California,Lancaster,47000 block of 30th Street East,1,0,34.7337,,-118.077,
"Shot - Dead (murder, accidental, suicide)",173436,2014-08-11,California,Stockton,600 block of South Lincoln Street,1,0,37.9455,,-121.296,
"Shot - Dead (murder, accidental, suicide)",173438,2014-08-11,California,Stockton,1900 block of East Mariposa Road,1,0,37.9403,,-121.247,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Gang involvement",173446,2014-08-11,California,Los Angeles,65th Street and Broadway,1,0,33.9807,,-118.278,1.0
"Shot - Dead (murder, accidental, suicide)",173136,2014-08-11,California,Sylmar,14000 block of Herron Street ,1,0,34.3045,,-118.438,
"Shot - Dead (murder, accidental, suicide)",199133,2014-08-11,California,Los Angeles,East 1st Street and Hicks Avenue,1,0,34.036,,-118.19,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",173573,2014-08-12,California,Santa Ana,Main and 12th ,1,2,33.7552,,-117.868,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator shot||Officer Involved Shooting - subject/suspect/perpetrator killed",173442,2014-08-12,California,San Fernando,800 block of Brand Avenue,1,2,34.2767,,-118.447,
"Shot - Dead (murder, accidental, suicide)||Suicide^||Gun range/gun shop/gun show shooting",173998,2014-08-13,California,Chico,2555 Dominic Drive,1,0,39.7127,,-121.788,
"Shot - Dead (murder, accidental, suicide)",174614,2014-08-14,California,Compton,800 block of West Maple Street ,1,0,33.902,,-118.238,
"Shot - Dead (murder, accidental, suicide)||Defensive Use",174591,2014-08-14,California,Visalia,800 block of East Vassar Avenue ,1,0,36.3134,,-119.269,
"Shot - Dead (murder, accidental, suicide)",199131,2014-08-14,California,Los Angeles,800 block of West 64th Street,1,0,33.981,,-118.287,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Implied Weapon",174570,2014-08-14,California,San Jose,Blossom Hill Rd and Playa Del Rey,1,0,37.2504,,-121.853,1.0
"Shot - Dead (murder, accidental, suicide)||Accidental Shooting||Accidental Shooting - Death||Accidental/Negligent Discharge||Cleaning gun",175408,2014-08-14,California,Vallejo,100 block of Sunrise Way,1,0,38.1118,,-122.203,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Gang involvement",199129,2014-08-15,California,Los Angeles,10560 Haddon Avenue,1,1,34.2627,,-118.429,
"Shot - Dead (murder, accidental, suicide)",175321,2014-08-15,California,Los Angeles,4836 Colonia De Los Pinos,1,0,34.0413,,-118.161,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Armed robbery with injury/death and/or evidence of DGU found",178600,2014-08-15,California,Salinas,11 Williams Rd,1,2,36.673,,-121.619,
"Shot - Dead (murder, accidental, suicide)||Gang involvement",178104,2014-08-15,California,Salinas,2400 block of North Main Street,1,0,36.7319,,-121.656,
"Shot - Dead (murder, accidental, suicide)",175206,2014-08-15,California,Logan Heights,2100 block of Ocean View Boulevard,1,0,32.7033,,-117.137,
"Shot - Dead (murder, accidental, suicide)",175809,2014-08-16,California,Bakersfield,700 block of Woodrow Ave,1,0,35.4164,,-119.034,1.0
"Shot - Dead (murder, accidental, suicide)||Defensive Use||Domestic Violence",175823,2014-08-16,California,Redding,19555 Tunnel Rd,1,0,40.7184,Spring Branch Trailer Park,-122.335,1.0
"Shot - Dead (murder, accidental, suicide)",175807,2014-08-16,California,Buttonwillow,100 block of West 2nd Street,0,0,35.4014,,-119.472,
"Shot - Dead (murder, accidental, suicide)",199119,2014-08-16,California,Los Angeles,18600 block of Topham Street,1,0,34.1807,,-118.538,
"Shot - Dead (murder, accidental, suicide)||Accidental Shooting||Accidental Shooting - Death||Hunting accident",178836,2014-08-16,California,Upper Lake,M10 at French Ridge,1,0,39.1646,,-122.911,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",175795,2014-08-16,California,Rubidoux,Main Street and 60 freeway,1,2,33.9959,,-117.426,
"Shot - Dead (murder, accidental, suicide)||Domestic Violence",910958,2014-08-17,California,Tehachapi,1500 block of Goodrick Dr,1,0,,BNSF Railway Company,,1.0
"Shot - Dead (murder, accidental, suicide)||Gang involvement",176255,2014-08-17,California,Los Angeles,400 block of Wittmer Street,1,0,34.0579,,-118.264,
"Shot - Dead (murder, accidental, suicide)",177834,2014-08-17,California,Sacramento,3700 block of Lily Street,1,0,38.6346,,-121.424,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",177770,2014-08-17,California,East Palo Alto,Purdue Street and Georgetown Avenue,1,3,37.479,,-122.138,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Officer Involved Shooting - subject/suspect/perpetrator unarmed||Domestic Violence||Kidnapping/abductions/hostage||Under the influence of alcohol or drugs (only applies to the subject/suspect/perpetrator )||Implied Weapon",177333,2014-08-18,California,Bellflower,8816 Artesia Blvd,1,0,33.8742,Unit 11,-118.144,1.0
"Shot - Dead (murder, accidental, suicide)",179314,2014-08-18,California,Los Angeles,1000 block of East Adams Blvd.,1,0,34.0193,,-118.256,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - Officer shot||Officer Involved Shooting - subject/suspect/perpetrator killed||Under the influence of alcohol or drugs (only applies to the subject/suspect/perpetrator )||Possession (gun(s) found during commission of other crimes)||Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)",176250,2014-08-18,California,Los Angeles,3700 block of Grand Avenue,1,1,34.1506,,-117.873,1.0
"Shot - Dead (murder, accidental, suicide)||Suicide^",178619,2014-08-18,California,Westminster,15500 block of Beach Boulevard,1,0,33.7373,,-117.989,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",177820,2014-08-18,California,Woodland,411 Elliot St,1,0,38.6812,,-121.776,
"Shot - Dead (murder, accidental, suicide)",177325,2014-08-18,California,San Bernardino,1100 block of East 3rd Street ,1,0,34.0644,,-117.333,
"Shot - Dead (murder, accidental, suicide)||Suicide^||Murder/Suicide",178583,2014-08-19,California,Placerville,3300 block of Gold Nugget Court,2,0,38.7183,,-120.821,
"Shot - Dead (murder, accidental, suicide)||Suicide^||Murder/Suicide",177743,2014-08-19,California,Vallejo,42 Harbor Way ,2,0,38.1082,,-122.266,
"Shot - Dead (murder, accidental, suicide)||Gang involvement",177895,2014-08-19,California,Madera,500 block of East Central Avenue,1,0,36.9674,,-120.058,
"Shot - Dead (murder, accidental, suicide)",179908,2014-08-20,California,Stockton,Fresno and Charter ,1,0,37.9329,,-121.312,
"Shot - Dead (murder, accidental, suicide)||Suicide^||Murder/Suicide",178535,2014-08-20,California,Mill Valley,154 Carlotta Circle,2,0,37.8973,,-122.513,
"Shot - Dead (murder, accidental, suicide)",178522,2014-08-21,California,Los Angeles,Vaughn Street and Glenoaks Boulevard,1,0,34.2826,,-118.421,
"Shot - Dead (murder, accidental, suicide)||Suicide^||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator suicide at standoff",178587,2014-08-21,California,Redlands,1000 block of Parkford Drive,1,0,34.0415,,-117.157,
"Shot - Dead (murder, accidental, suicide)",199102,2014-08-22,California,Los Angeles,1200 block of West Gage Avenue and Raymond Avenue,1,0,33.9823,,-118.298,
"Shot - Dead (murder, accidental, suicide)",199104,2014-08-22,California,Los Angeles,214 North Arizona Avenue,1,0,34.0384,,-118.164,
"Shot - Dead (murder, accidental, suicide)",179321,2014-08-22,California,Aromas,Carpenteria Road,0,0,36.8763,,-121.642,
"Shot - Dead (murder, accidental, suicide)||Possession (gun(s) found during commission of other crimes)",179415,2014-08-22,California,Mountain View,1 Amphitheatre Parkway,1,0,37.4233,,-122.078,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Gang involvement||Officer Involved Incident||Officer Involved Shooting - Officer shot||Officer Involved Shooting - subject/suspect/perpetrator killed",179263,2014-08-22,California,San Bernardino,1900 block of Garner Avenue,1,1,34.1323,,-117.311,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",180285,2014-08-23,California,Los Angeles,E. 54th Street and S. Central Avenue,1,1,33.9939,,-118.256,
"Shot - Dead (murder, accidental, suicide)",180028,2014-08-24,California,Antioch,200 block of Lawton Street ,1,0,38.0016,,-121.808,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Spree Shooting (multiple victims, multiple locations)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",180007,2014-08-24,California,San Fernando,1400 block of Celis Street ,3,4,34.286,,-118.446,
"Shot - Dead (murder, accidental, suicide)",199093,2014-08-24,California,San Fernando,1420 Celis Street,1,0,34.2862,,-118.446,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",180446,2014-08-24,California,Fresno,732 S. Trinity Street ,1,1,36.7356,,-119.809,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Suicide^||Domestic Violence",182039,2014-08-26,California,Napa,700 block of Central Avenue ,1,1,38.3142,,-122.285,
"Shot - Dead (murder, accidental, suicide)",181535,2014-08-26,California,Bakersfield,700 block of Woodrow Ave,1,0,35.4164,,-119.034,1.0
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - Officer shot||Officer Involved Shooting - subject/suspect/perpetrator killed",181497,2014-08-26,California,Lynwood,12000 block of Santa Fe Avenue near El Segundo Boulevard,1,1,33.9171,,-118.215,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",183116,2014-08-27,California,Live Oak,4700 block of Broadway,1,0,39.199,,-121.679,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Defensive Use",182377,2014-08-28,California,Redding,20000 block of Fig Tree Lane,1,0,40.4912,,-122.292,
"Shot - Dead (murder, accidental, suicide)",182382,2014-08-28,California,Rossmoor,11200 block of Wallingsford Road ,1,0,33.8001,,-118.074,
"Shot - Dead (murder, accidental, suicide)||Suicide^||Murder/Suicide||Animal shot/killed",182933,2014-08-29,California,Clovis,Tollhouse Lane near Fowler Avenue,2,0,36.8048,,-119.682,
"Shot - Dead (murder, accidental, suicide)",182844,2014-08-29,California,Compton,500 block of West Compton Boulevard,1,0,33.8959,,-118.231,
"Shot - Dead (murder, accidental, suicide)",183099,2014-08-30,California,Whittier,8000 block of Washington Ave,1,0,33.9682,,-118.035,1.0
"Shot - Dead (murder, accidental, suicide)",182942,2014-08-30,California,San Bernardino,25000 block of Paloma Rd,1,0,34.1196,,-117.25,1.0
"Shot - Dead (murder, accidental, suicide)",199091,2014-08-30,California,Whittier,8001 West Washington Avenue,1,0,33.9678,,-118.035,
"Shot - Dead (murder, accidental, suicide)",183843,2014-08-31,California,Oakland,Coliseum Way,1,0,37.7586,,-122.209,
"Shot - Dead (murder, accidental, suicide)",183840,2014-08-31,California,Santa Rosa,2362 Cleveland Avenue ,1,0,38.4606,,-122.728,
"Shot - Dead (murder, accidental, suicide)",184266,2014-08-31,California,Los Angeles,54th Street and Western Avenue,1,0,33.9932,,-118.309,
"Shot - Dead (murder, accidental, suicide)",183830,2014-09-01,California,Bakersfield,700 block of V Street ,1,0,35.3636,,-119.005,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",184494,2014-09-01,California,Los Angeles,9th and West Jefferson ,1,1,34.0256,,-118.327,
"Shot - Dead (murder, accidental, suicide)",184491,2014-09-01,California,Los Angeles,2600 block of Dalton Avenue ,1,0,34.0327,,-118.304,
"Shot - Dead (murder, accidental, suicide)",184480,2014-09-01,California,Los Angeles,West Florence and South Vermont ,2,0,33.9746,,-118.292,
"Shot - Dead (murder, accidental, suicide)",199083,2014-09-02,California,Los Angeles,1230 South Menlo Avenue,1,0,34.0481,,-118.29,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",185433,2014-09-03,California,Los Angeles,South Vermont and West Manchester ,1,1,33.96,,-118.292,
"Shot - Dead (murder, accidental, suicide)||Suicide^",188531,2014-09-03,California,Corona,,1,0,33.855,,-117.539,
"Shot - Dead (murder, accidental, suicide)",185968,2014-09-03,California,Fieldbrook,4400 block of Fieldbrook Road ,2,0,40.9601,,-124.034,
"Shot - Dead (murder, accidental, suicide)||Suicide^||Murder/Suicide||Domestic Violence",185147,2014-09-03,California,Sacramento,6300 block of Glenhills Way ,2,0,38.5123,,-121.42,
"Shot - Dead (murder, accidental, suicide)",185977,2014-09-04,California,Modesto,2300 block of Vera Cruz Drive ,1,0,37.6754,,-120.973,
"Shot - Dead (murder, accidental, suicide)",188546,2014-09-05,California,Weaverville,Masonic Lane,1,0,40.7228,,-122.936,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",188529,2014-09-05,California,San Bernardino,306 E. Baseline Street,1,1,34.1214,,-117.278,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",186703,2014-09-05,California,San Francisco,1 block of Nichols Way ,1,1,37.7203,,-122.386,
"Shot - Dead (murder, accidental, suicide)||Possession of gun by felon or prohibited person",186957,2014-09-05,California,Sacramento,2200 block of Hurley Way,1,0,38.5887,,-121.401,1.0
"Shot - Dead (murder, accidental, suicide)",186954,2014-09-06,California,Lodi,Roget Park,1,0,38.1341,,-121.272,
"Shot - Dead (murder, accidental, suicide)",199080,2014-09-06,California,Los Angeles,5300 block of Valley Boulevard,1,0,34.0789,,-118.118,
"Shot - Dead (murder, accidental, suicide)||Bar/club incident - in or around establishment",187388,2014-09-07,California,Los Angeles,4300 block of West 28th Street and Crenshaw Boulevard,1,0,34.0311,,-118.335,
"Shot - Dead (murder, accidental, suicide)||Criminal act with stolen gun",187966,2014-09-07,California,Manteca,1200 block of Glenn Drive,1,1,37.8035,,-121.198,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Drive-by (car to street, car to car)",187255,2014-09-07,California,Lynwood,2700 block of East 110th Street,1,2,33.9353,,-118.224,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",188139,2014-09-08,California,Richmond,1300 block of Mariposa Street ,1,1,37.9144,,-122.322,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Domestic Violence||Defensive Use",187760,2014-09-08,California,Los Angeles,8100 block of South Budlong Avenue,1,1,33.9657,,-118.296,
"Shot - Dead (murder, accidental, suicide)",188141,2014-09-08,California,Fresno,Fruit and Annadale ,1,0,36.6995,,-119.818,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Domestic Violence||Brandishing/flourishing/open carry/lost/found||Defensive Use",199059,2014-09-08,California,Los Angeles,1100 block of West 81st Place,1,1,33.9649,,-118.294,
"Shot - Dead (murder, accidental, suicide)",199071,2014-09-08,California,Los Angeles,1700 block of East 103rd Street,1,0,33.9432,,-118.242,
"Shot - Dead (murder, accidental, suicide)",188520,2014-09-09,California,Sacramento,2000 block of Alta Arden Expressway near Ethan Way,1,0,38.6003,,-121.42,
"Shot - Dead (murder, accidental, suicide)",199040,2014-09-09,California,Los Angeles,Colton Street and 100 block of North Toluca Street,1,0,34.0633,,-118.257,
"Shot - Dead (murder, accidental, suicide)",199052,2014-09-09,California,Los Angeles,Hillcrest Drive and West 28th Street,1,0,34.0311,,-118.343,
"Shot - Dead (murder, accidental, suicide)",189064,2014-09-10,California,Petaluma,100 block of Suncrest Hill Drive ,1,0,38.2189,,-122.64,
"Shot - Dead (murder, accidental, suicide)",189675,2014-09-11,California,San Diego,National Avenue ,1,0,32.696,,-117.127,
"Shot - Dead (murder, accidental, suicide)",197994,2014-09-11,California,Logan Heights,National Avenue and South 29th Street,1,0,32.6959,,-117.132,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",190504,2014-09-13,California,Lodi,Railroad Avenue ,1,1,38.1376,,-121.264,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",190496,2014-09-13,California,Palo Alto,1600 block of Michigan Avenue ,1,1,37.4736,,-122.139,
"Shot - Dead (murder, accidental, suicide)",190484,2014-09-13,California,San Bernardino,1600 block of East Gould Street,1,0,34.0707,,-117.252,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",190518,2014-09-13,California,Stockton,Princess Lane,1,2,38.036,,-121.327,
"Shot - Dead (murder, accidental, suicide)||Domestic Violence||Defensive Use",190490,2014-09-13,California,Sonoma County,4200 block of Warm Springs Road ,1,0,38.3692,,-122.539,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Defensive Use",190461,2014-09-14,California,Richmond,Cutting and Carlson ,1,0,37.9253,,-122.338,
"Shot - Dead (murder, accidental, suicide)",190469,2014-09-14,California,Oakland,2000 block of 83rd Ave,1,0,37.7584,,-122.172,1.0
"Shot - Dead (murder, accidental, suicide)",199038,2014-09-14,California,Los Angeles,540 South Bernal Avenue,1,0,34.0322,,-118.199,
"Shot - Dead (murder, accidental, suicide)",199036,2014-09-14,California,Inglewood,Rear of 10214 S. Dixon Avenue,1,0,33.9431,,-118.332,
"Shot - Dead (murder, accidental, suicide)",191046,2014-09-15,California,Bakersfield,9400 block of Waterbury Drive,1,0,35.3642,,-119.107,
"Shot - Dead (murder, accidental, suicide)",191561,2014-09-15,California,Oakland,1300 block of 76th Avenue ,1,0,37.7575,,-122.186,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",191022,2014-09-15,California,El Monte,2600 block of Sastre Avenue ,1,1,34.0591,,-118.054,
"Shot - Dead (murder, accidental, suicide)||Suicide^",191007,2014-09-15,California,Carson,21356 South Avalon Boulevard ,1,0,33.8351,,-118.263,
"Shot - Dead (murder, accidental, suicide)",191545,2014-09-15,California,Norwalk,12700 block of Rexton Street ,1,0,33.9045,,-118.063,
"Shot - Dead (murder, accidental, suicide)||Gang involvement||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Defensive Use",191517,2014-09-16,California,Fresno,First and Clinton,1,0,36.7723,,-119.772,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Home Invasion",192614,2014-09-16,California,Corcoran,5900 block of Newark Avenue,1,1,36.1199,,-119.57,
"Shot - Dead (murder, accidental, suicide)",193613,2014-09-17,California,Piercy,78000 block of Highway 271,1,0,39.95,,-123.781,
"Shot - Dead (murder, accidental, suicide)",199009,2014-09-17,California,Los Angeles,2600 block of South Edgehill Drive,1,0,34.0323,,-118.328,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",192597,2014-09-17,California,Eureka,1600 block of Allard ,1,0,40.7734,,-124.189,
"Shot - Dead (murder, accidental, suicide)",192659,2014-09-17,California,Redlands,1000 block of Post Street ,1,0,34.0654,,-117.177,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Defensive Use||Drug involvement||Armed robbery with injury/death and/or evidence of DGU found",192604,2014-09-18,California,Cutler,10000 block of Avenue 400,1,1,36.5157,,-119.283,
"Shot - Dead (murder, accidental, suicide)||Armed robbery with injury/death and/or evidence of DGU found",211335,2014-09-18,California,El Cajon,1499 Broadway,1,0,32.8076,,-116.927,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Armed robbery with injury/death and/or evidence of DGU found||Defensive Use",193650,2014-09-19,California,Anaheim,3300 block of E. La Palma Avenue ,1,1,33.8525,,-117.852,
"Shot - Dead (murder, accidental, suicide)||Drive-by (car to street, car to car)",193661,2014-09-19,California,Citrus Heights,7800 block of Sayonara Drive ,1,0,38.6851,,-121.276,
"Shot - Dead (murder, accidental, suicide)||Suicide^||Murder/Suicide",193925,2014-09-19,California,Anaheim,700 block of S. Morningstar Drive,2,0,33.8639,,-117.727,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)",194465,2014-09-20,California,Jurupa Valley,I-15 South,1,2,33.9599,,-117.549,
"Shot - Dead (murder, accidental, suicide)",194451,2014-09-20,California,Delano,300 block of South El Dorado Circle ,1,0,35.7726,,-119.263,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Gang involvement",193919,2014-09-20,California,El Cerrito,I-15 and El Cerrito Road,1,2,33.8308,,-117.529,
"Shot - Dead (murder, accidental, suicide)||Suicide^||Murder/Suicide",197657,2014-09-20,California,Santa Cruz,200 block of Columbia Street,2,0,36.9528,,-122.034,
"Shot - Dead (murder, accidental, suicide)||Possession of gun by felon or prohibited person",193908,2014-09-20,California,Oakland,8700 block of Hillside St,1,0,37.7573,,-122.164,1.0
"Shot - Dead (murder, accidental, suicide)",193899,2014-09-20,California,Richmond,Fourth Street and Bissell Avenue,2,0,37.9341,,-122.366,
"Shot - Dead (murder, accidental, suicide)",199002,2014-09-21,California,Hawthorne,4093 138th Street,1,0,33.9066,,-118.346,
"Shot - Dead (murder, accidental, suicide)",194449,2014-09-21,California,Bakersfield,200 block of Fishering Drive ,1,0,35.3486,,-119.049,
"Shot - Dead (murder, accidental, suicide)",194401,2014-09-21,California,Vallejo,Callaghan Lane,0,1,38.1234,,-122.226,
"Shot - Dead (murder, accidental, suicide)",199007,2014-09-21,California,Inglewood,3636 W Imperial Hwy,1,0,33.9308,,-118.336,1.0
"Shot - Dead (murder, accidental, suicide)",193929,2014-09-21,California,Los Angeles,South Western Avenue and Wilshire Boulevard,1,0,34.0617,,-118.309,
"Shot - Dead (murder, accidental, suicide)",194461,2014-09-21,California,Shafter,30700 block of Rodriguez Avenue ,1,0,35.47,,-119.27,
"Shot - Dead (murder, accidental, suicide)||Gang involvement",194482,2014-09-21,California,San Bernardino,300 block of South San Felipe Road ,1,0,34.0997,,-117.277,
"Shot - Dead (murder, accidental, suicide)",195387,2014-09-22,California,Temecula,30000 block of Rancho California Road ,1,0,33.5088,,-117.129,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Defensive Use",195383,2014-09-22,California,Fresno,2500 block of South Kirk Avenue,1,0,36.7105,,-119.785,
"Shot - Dead (murder, accidental, suicide)||Home Invasion||Home Invasion - Resident killed",195741,2014-09-23,California,Sacramento,8200 block of Auberry Drive ,1,0,38.4621,,-121.403,
"Shot - Dead (murder, accidental, suicide)",198998,2014-09-23,California,Hawthorne,13601 Kornblum Avenue,1,0,33.9081,,-118.338,
"Shot - Dead (murder, accidental, suicide)",195694,2014-09-23,California,San Jose,100 block of Rancho Drive ,2,0,37.2837,,-121.836,
"Shot - Dead (murder, accidental, suicide)||Suicide^",195702,2014-09-24,California,Bakersfield,Pioneer and Esperanza,1,0,35.369,,-118.903,
