incident_characteristics,incident_id,date,state,city_or_county,address,n_killed,n_injured,latitude,location_description,longitude,n_guns_involved
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Drive-by (car to street, car to car)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",492570,2013-10-27,California,Vallejo,200 block of Princeton Avenue,1,6,38.1517,,-122.25,
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",492950,2013-11-03,California,Los Angeles,1 World Way,1,3,33.9454,Los Angeles Airport (LAX),-118.399,
"Shot - Dead (murder, accidental, suicide)",935147,2013-12-31,California,Oakland,104th Ave and Walnut St,1,0,,,,1.0
"Shot - Dead (murder, accidental, suicide)||Gang involvement",92393,2014-01-01,California,Merced,1300 block of Derby Court,1,0,37.3389,,-120.497,
"Shot - Dead (murder, accidental, suicide)||Gang involvement",92389,2014-01-01,California,Fresno,Mono Avenue and First Street,2,0,36.737,,-119.773,
"Shot - Dead (murder, accidental, suicide)",92378,2014-01-02,California,San Jose,East San Antonio ,1,0,37.333,,-121.888,
"Shot - Dead (murder, accidental, suicide)",93348,2014-01-02,California,National City,East 18th and Grove ,1,0,32.6733,,-117.082,
"Shot - Dead (murder, accidental, suicide)",92996,2014-01-03,California,Fairfield,El Verano Court,1,0,38.272,,-122.024,
"Shot - Dead (murder, accidental, suicide)",105114,2014-01-04,California,Compton,1300 block of North Wilmington Avenue,1,0,33.9111,,-118.239,
"Shot - Dead (murder, accidental, suicide)",935154,2014-01-04,California,Oakland,3600 block of International Blvd,1,0,37.7759,(Fruitvale),-122.222,1.0
"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Suicide^||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator suicide at standoff",103924,2014-01-05,California,Modesto,1100 block of Cannes Avenue,1,2,37.6159,,-121.012,
"Shot - Dead (murder, accidental, suicide)",93357,2014-01-05,California,Bakersfield,100 block of Griffiths Street,1,0,35.3532,,-119.05,
"Shot - Dead (murder, accidental, suicide)",93051,2014-01-05,California,Los Angeles,10017 South Main Street,1,0,33.9455,,-118.274,
"Shot - Dead (murder, accidental, suicide)||Home Invasion",93352,2014-01-06,California,Sacramento,Center Parkway,1,0,38.4662,,-121.433,
"Shot - Dead (murder, accidental, suicide)||Suicide^",93817,2014-01-06,California,Long Beach,61st and Seaside ,1,0,33.7701,,-118.194,
"Shot - Dead (murder, accidental, suicide)",174362,2014-01-07,California,Los Angeles,Compton Ave and E 117th St,1,0,33.9277,,-118.246,1.0
"Shot - Dead (murder, accidental, suicide)",94080,2014-01-08,California,Monterey Park,New and Orange,1,0,34.0625,,-118.123,
"Shot - Dead (murder, accidental, suicide)",106673,2014-01-08,California,Van Nuys,Cedros Avenue at Delano Street,1,0,34.1826,,-118.453,
"Shot - Dead (murder, accidental, suicide)||Suicide^",94818,2014-01-09,California,Santa Rosa,1200 block of Marble Street ,1,0,38.422,,-122.744,
"Shot - Dead (murder, accidental, suicide)||Suicide^||Murder/Suicide",206333,2014-01-09,California,Los Angeles,21900 block of Roscoe Boulevard,2,0,34.2191,,-118.605,
"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed",94391,2014-01-09,California,San Diego,41st at Hilltop Drive ,1,0,32.7151,,-117.107,
"Shot - Dead (murder, accidental, suicide)||Armed robbery with injury/death and/or evidence of DGU found",94760,2014-01-09,California,Sacramento,Elkhorn Boulevard,1,0,38.6854,,-121.62,1.0
"Shot - Dead (murder, accidental, suicide)",95110,2014-01-10,California,Riverside County,3600 block of Scenic Drive,1,0,33.7087,,-117.15,
"Shot - Dead (murder, accidental, suicide)",95194,2014-01-10,California,Jurupa Valley,Scenic near 36th ,1,0,33.9972,,-117.485,
"Shot - Dead (murder, accidental, suicide)",95168,2014-01-10,California,Trinidad,Humboldt County,1,0,41.0593,,-124.143,
